Area/Promedio,dp(a)
0.715941,0.893313
0.654192,0.872482
0.470102,0.676105
1.64935,0.261104
1.72634,0.220043
0.781135,0.893916
0.868191,0.866428
1.86453,0.159508
1.71329,0.226616
1.35353,0.471165
1.56632,0.311711
1.00329,0.77889
1.13143,0.669079
0.680723,0.884022
1.2473,0.563926
0.97716,0.798886
1.29534,0.521202
0.557915,0.795418
0.413339,0.576719
0.920807,0.837508
1.42646,0.41196
1.06502,0.727837
2.55395,0.026005
0.781839,0.893814
1.81411,0.17974
0.77319,0.894909
0.701064,0.890202
1.87713,0.15476
0.999857,0.781579
0.371115,0.494222
0.4903,0.707516
0.675548,0.882085
0.74801,0.896158
1.02999,0.757373
1.90036,0.146329
2.53298,0.0275898
0.552474,0.789366
0.901535,0.849004
1.25398,0.557924
0.218534,0.185787
1.71628,0.225098
0.690907,0.887399
0.652179,0.871442
2.32071,0.0495975
1.79898,0.186217
0.684398,0.885307
0.918699,0.838812
0.0850473,0.0186779
1.14857,0.653572
1.20571,0.60157
0.912044,0.842856
0.405252,0.561395
0.471375,0.678151
1.26296,0.549886
0.253509,0.252161
0.574884,0.813118
1.81431,0.179656
0.670952,0.880238
0.335267,0.420575
0.349642,0.45037
0.367332,0.486569
1.24283,0.567943
0.913531,0.841962
1.45274,0.391731
1.37122,0.456416
0.895064,0.852639
0.629906,0.858336
0.458095,0.656391
0.205871,0.163396
0.554233,0.791343
0.535348,0.769135
1.02039,0.765225
0.674628,0.881725
0.722569,0.894326
1.3876,0.442968
0.646839,0.868566
0.553057,0.790024
1.85112,0.164691
1.44974,0.394009
0.240726,0.227234
0.809102,0.888269
0.655862,0.873328
1.46713,0.380915
1.17574,0.628862
0.297328,0.341417
0.706088,0.891384
0.400267,0.551828
0.766247,0.895546
0.605903,0.840885
1.01104,0.772747
0.93353,0.829404
0.353836,0.459006
0.826188,0.883262
0.891585,0.854546
1.95791,0.127123
0.567463,0.805596
1.99166,0.116913
1.55458,0.319411
1.83725,0.1702
1.16252,0.640895
0.727389,0.894921
1.14649,0.655459
0.622881,0.853589
0.929292,0.832147
1.11497,0.683874
0.39499,0.541601
0.313806,0.375781
1.55691,0.317867
0.917537,0.839527
0.728322,0.895023
1.08742,0.708339
0.554225,0.791334
1.71048,0.228051
1.19602,0.610382
0.860009,0.87018
0.11753,0.0432876
1.17892,0.625959
1.06417,0.72857
0.50918,0.734795
0.808015,0.888549
1.94966,0.129736
1.42269,0.414907
1.21947,0.589068
1.6353,0.269201
0.430662,0.608642
1.44944,0.394233
0.775087,0.894697
0.431994,0.611042
2.46409,0.0334578
2.00519,0.113028
0.380826,0.513696
1.06516,0.727713
0.214406,0.178378
1.59867,0.291197
0.391428,0.534643
0.639174,0.864146
1.36177,0.464263
1.21368,0.594326
0.155972,0.0867514
0.909666,0.844273
0.348086,0.447158
1.67331,0.247733
0.378041,0.508137
0.341577,0.433686
0.934184,0.828976
2.51952,0.0286544
2.23295,0.0627617
0.530684,0.763315
0.379163,0.510378
1.81235,0.180487
0.575272,0.813502
0.486936,0.70244
1.16934,0.634683
1.34399,0.47921
0.366197,0.484267
1.25732,0.554929
0.453793,0.649147
0.766557,0.895522
0.923707,0.835695
0.475792,0.68518
2.81737,0.0121716
0.781793,0.893821
1.52975,0.336127
0.637838,0.86334
1.06679,0.726311
0.818228,0.885735
0.559789,0.797459
0.666316,0.878254
0.491791,0.709744
1.05497,0.736438
0.394347,0.540348
1.06116,0.731152
0.569914,0.808117
0.869745,0.865691
0.169054,0.104831
1.03603,0.75238
0.405024,0.56096
0.963102,0.809144
